"filename", "language", "YAML", "C++", "Dart", "Markdown", "CMake", "comment", "blank", "total"
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\album_item.dart", "Dart", 0, 0, 72, 0, 0, 2, 5, 79
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\image_item.dart", "Dart", 0, 0, 71, 0, 0, 30, 6, 107
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\journal_item.dart", "Dart", 0, 0, 119, 0, 0, 3, 7, 129
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\new_image.dart", "Dart", 0, 0, 62, 0, 0, 2, 8, 72
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\note_item.dart", "Dart", 0, 0, 148, 0, 0, 1, 6, 155
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\notebook_item.dart", "Dart", 0, 0, 171, 0, 0, 3, 10, 184
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\reminder_item.dart", "Dart", 0, 0, 149, 0, 0, 8, 7, 164
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\todo_item.dart", "Dart", 0, 0, 123, 0, 0, 15, 7, 145
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\navigation.dart", "Dart", 0, 0, 248, 0, 0, 2, 5, 255
"d:\Flutter_projects\updated\sds\Mystica\pubspec.yaml", "YAML", 43, 0, 0, 0, 0, 55, 14, 112
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 4, 5, 15
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 5, 6, 16
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 19, 0, 6, 25
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\flutter_window.cpp", "C++", 0, 45, 0, 0, 0, 4, 13, 62
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 5, 9, 34
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 4, 10, 44
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 6, 2, 17
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\utils.cpp", "C++", 0, 53, 0, 0, 0, 2, 10, 65
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 6, 6, 20
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\win32_window.cpp", "C++", 0, 183, 0, 0, 0, 15, 48, 246
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 29, 22, 99
"Total", "-", 46, 407, 9552, 10, 19, 520, 704, 11258
