"filename", "language", "C++", "YAML", "Dart", "Markdown", "CMake", "comment", "blank", "total"
"d:\Flutter_projects\updated\sds\Mystica\lib\models\Gallery\ImageAttr.dart", "Dart", 0, 0, 13, 0, 0, 0, 2, 15
"d:\Flutter_projects\updated\sds\Mystica\lib\models\Journal\Journal.dart", "Dart", 0, 0, 14, 0, 0, 0, 2, 16
"d:\Flutter_projects\updated\sds\Mystica\lib\models\Notebook\Note.dart", "Dart", 0, 0, 16, 0, 0, 0, 2, 18
"d:\Flutter_projects\updated\sds\Mystica\lib\models\Notebook\Notebook.dart", "Dart", 0, 0, 14, 0, 0, 0, 2, 16
"d:\Flutter_projects\updated\sds\Mystica\lib\models\reminder\reminder.dart", "Dart", 0, 0, 12, 0, 0, 0, 2, 14
"d:\Flutter_projects\updated\sds\Mystica\lib\models\todo\todo.dart", "Dart", 0, 0, 12, 0, 0, 0, 2, 14
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\get_started_screen.dart", "Dart", 0, 0, 50, 0, 0, 5, 2, 57
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\home_screen.dart", "Dart", 0, 0, 575, 0, 0, 10, 17, 602
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\login_screen.dart", "Dart", 0, 0, 337, 0, 0, 33, 12, 382
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\profile_screen.dart", "Dart", 0, 0, 293, 0, 0, 14, 12, 319
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\signup_screen.dart", "Dart", 0, 0, 306, 0, 0, 16, 12, 334
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\album_screen.dart", "Dart", 0, 0, 276, 0, 0, 15, 12, 303
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\create_album_screen.dart", "Dart", 0, 0, 149, 0, 0, 10, 17, 176
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\edit_album_screen.dart", "Dart", 0, 0, 174, 0, 0, 5, 11, 190
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\image\add_image_screen.dart", "Dart", 0, 0, 130, 0, 0, 5, 17, 152
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\image\detail_image_screen.dart", "Dart", 0, 0, 140, 0, 0, 2, 7, 149
